tconst	averageRating	numVotes
tt13374994	6.9	7
tt13378056	4.3	176
tt13381574	5.7	31
tt13381818	7.5	53
tt13387266	7.6	34
tt13387818	6.8	13
tt13389730	7.1	10
tt13391708	6.7	70
tt13391710	8.3	10191
tt13393058	5.4	252
tt13393128	7.0	63
tt13394304	5.0	242
tt13398930	7.7	58
tt13399946	7.0	856
tt13400142	7.5	155
tt13403046	6.7	45539
tt13404734	7.4	108
tt13404996	8.2	5
tt13406136	5.5	9475
tt13408950	4.9	40
tt13409590	8.0	21
tt13424004	7.4	211
tt13431950	7.6	14
tt13434562	6.3	9
tt13434790	6.7	33
tt13434866	4.5	865
tt13435750	8.2	8
tt13436216	7.0	13
tt13439744	5.8	4277
tt13446128	7.5	54
tt13449566	9.4	72
tt13449624	7.0	33914
tt13451112	6.5	46
tt13453138	6.8	58
tt13456316	7.6	112
tt13456318	5.6	17794
tt13457822	5.5	4241
tt13458764	7.4	71
tt13459376	6.7	674
tt13460190	6.2	720
tt13466166	7.6	3039
tt13468976	5.3	9237
tt13470278	7.1	1282
tt13471738	7.1	337
tt13475220	8.3	9
tt13475676	2.7	1175
tt13479592	5.3	1050
tt13479740	6.8	6
tt13479822	3.2	1068
tt13482828	6.9	97
tt13483866	7.3	72
tt13487922	2.8	897
tt13496136	6.9	8
tt13498862	8.1	10
tt13503770	8.3	4309
tt13515090	6.0	132
tt13515538	2.8	60
tt13516976	4.5	32
tt13518808	6.1	16
tt13528122	9.2	33
tt13528560	9.6	24
tt13528564	7.8	4755
tt13528840	8.3	16
tt13531468	7.4	877
tt13534808	7.1	5759
tt13535230	4.2	73
tt13535920	6.8	458
tt13540260	5.0	72
tt13540374	5.3	7
tt13540506	6.8	13
tt13540984	8.2	16
tt13543898	9.6	12
tt13545712	6.6	56
tt13550090	6.4	16
tt13550170	4.9	118
tt13556260	5.9	8
tt13556836	6.9	9
tt13557082	8.6	1795
tt13557828	6.7	226
tt13558022	7.3	58
tt13560048	6.1	63
tt13560186	5.5	503
tt13560574	6.6	56363
tt13561292	5.7	979
tt13563382	6.9	12
tt13567176	7.7	82
tt13567338	10.0	6
tt13574490	6.5	42
tt13578540	6.0	6
tt13580706	6.5	45
tt13582682	9.3	525
tt13582950	7.3	7
tt13586584	6.2	9
